X,Y,LocationID,State
-147.4246694,64.8329096,31AK,AK
-147.1014647,64.66564634,EIL,AK
-147.8564704,64.81511286,FAI,AK
-147.9286365,64.19805733,AK7,AK
-147.9139872,64.90928785,32AK,AK
-147.5216927,64.82166848,AK22,AK
-147.7624471,64.80679177,MTF,AK
-147.5356205,64.88889069,AK52,AK
-147.8805983,64.92866007,25AA,AK
-148.830282,65.25650155,83AK,AK
-147.3637836,64.36374103,2AK1,AK
-147.5635176,64.45346044,2AK2,AK
-147.6162495,64.83672618,FBK,AK
-163.4071299,54.84786124,KFP,AK
-153.8903072,62.509112,0AA4,AK
-153.6128128,62.53212316,TNW,AK
-166.1315468,64.83172588,3Z1,AK
-157.9890936,62.45264911,FLT,AK
-149.6533307,61.26590098,FRN,AK
-145.2463611,66.57241877,FYU,AK
-149.4899468,68.47966789,GBH,AK
-156.9374145,64.73616686,GAL,AK
-171.7328005,63.766609,GAM,AK
-149.1193687,60.969024,AQY,AK
-142.3809739,61.4551373,KGZ,AK
-147.8593699,61.8088786,28AK,AK
-146.6749903,62.03280767,5AK4,AK
-163.0071915,64.55044364,GLV,AK
-161.5736877,59.11786107,GNU,AK
-149.8422926,61.39465164,Z40,AK
-161.2815008,65.40213273,GSZ,AK
-160.0664206,62.89208515,KGX,AK
-145.454357,62.15494676,GKN,AK
-145.3627905,62.28028566,8AK1,AK
-135.7074374,58.42528179,GST,AK
-135.7232434,59.31322621,18AA,AK
-136.0194657,59.4030595,9AA9,AK
-135.5235586,59.24383319,HNS,AK
-163.3291185,65.90485706,AK74,AK
-148.9688585,63.86758495,HRR,AK
-160.8992739,55.80139538,AK33,AK
-146.584275,60.48167722,2AK5,AK
-155.6848438,66.17613363,2AK6,AK
-159.7749677,62.18830551,HCA,AK
-151.0299162,59.73829044,46AK,AK
-151.5125219,59.47000149,2AK4,AK
-150.958536,59.77607101,0AK7,AK
-153.0808468,59.82855039,AK18,AK
-151.1816526,59.77584319,98AK,AK
-151.223264,59.76356624,AK17,AK
-151.4858305,59.64499743,HOM,AK
-151.4964803,59.70341537,OL99,AK
-135.4087767,58.09620323,HNH,AK
-166.1466331,61.52386012,HPB,AK
-149.6228353,60.9072642,5HO,AK
-141.1821373,62.00723636,4Z5,AK
-149.8867456,61.65630994,AK89,AK
-149.7701428,61.60415163,AA33,AK
-149.8523039,61.61260162,AK29,AK
